电子产品名,价格（元）,销量（件）,时间,分类,品牌,原价（元）,折扣率（%）,评价数量,好评率（%）,发货地,保修期（月）
OPPO 投影仪 X4,8541,3469,2024/10/10,投影仪,OPPO,12533.52,31.85,112,97.64,杭州,18
海尔 电视 X5,2922,8788,2024/9/15,电视,海尔,3258.31,10.32,715,96.35,广州,6
联想 电视 X4,9922,2043,2024/2/22,电视,联想,12378.72,19.85,724,80.57,武汉,18
戴尔 智能家居 X5,283,1878,2024/7/13,智能家居,戴尔,321.61,12.01,169,98.74,武汉,24
小米 电视 X5,10735,7983,2024/12/12,电视,小米,15401.01,30.3,764,84.89,广州,24
小米 智能穿戴 X2,777,1733,2024/5/24,智能穿戴,小米,927.32,16.21,865,90.46,深圳,18
联想 耳机 X5,445,1406,2024/3/1,耳机,联想,529.92,16.03,234,80.47,成都,12
三星 投影仪 X6,7800,4394,2024/9/24,投影仪,三星,9478.79,17.71,995,84.51,杭州,12
华为 电视 X8,8747,7262,2024/9/21,电视,华为,9834.68,11.06,603,89.56,上海,24
戴尔 投影仪 X8,6607,2227,2024/9/18,投影仪,戴尔,9339.7,29.26,891,90.54,北京,24
苹果 电视 X9,7315,4996,2024/2/16,电视,苹果,10395.38,29.63,434,91.81,北京,18
苹果 投影仪 X4,7843,1714,2024/9/9,投影仪,苹果,7870.66,0.35,338,86.96,武汉,6
索尼 平板电脑 X9,4357,5416,2024/2/13,平板电脑,索尼,5424,19.67,845,94.55,上海,6
飞利浦 电视 X2,10592,2747,2024/5/10,电视,飞利浦,14334.73,26.11,44,90.16,深圳,18
三星 耳机 X10,580,1596,2024/12/20,耳机,三星,646.37,10.27,752,80.33,广州,24
苹果 智能家居 X4,4718,941,2025/2/8,智能家居,苹果,6862.71,31.25,914,96.5,武汉,18
苹果 平板电脑 X3,1810,3301,2024/8/7,平板电脑,苹果,2213.1,18.21,223,89.89,北京,12
海尔 投影仪 X6,3656,4039,2024/5/24,投影仪,海尔,4530.57,19.3,786,87.42,北京,18
苹果 智能家居 X9,2619,1513,2025/1/4,智能家居,苹果,2625,0.23,382,96.72,成都,6
海尔 投影仪 X3,2092,3138,2024/6/23,投影仪,海尔,2245.08,6.82,956,84.57,上海,24
联想 电视 X4,2424,1681,2024/6/17,电视,联想,3291.76,26.36,182,82.81,北京,6
小米 智能穿戴 X2,473,4377,2024/9/7,智能穿戴,小米,490.08,3.48,214,97.87,广州,18
小米 电视 X8,4548,999,2024/7/24,电视,小米,6672.89,31.84,706,87.6,广州,24
OPPO 智能手机 X2,9949,8655,2024/6/4,智能手机,OPPO,11183.51,11.04,354,86.71,上海,24
苹果 电视 X2,7376,1791,2024/12/14,电视,苹果,10215.58,27.8,628,86.45,成都,12
三星 耳机 X8,777,776,2024/12/25,耳机,三星,866.22,10.3,511,87.25,杭州,12
联想 投影仪 X2,4451,803,2024/7/5,投影仪,联想,5830.75,23.66,963,90.21,深圳,6
联想 笔记本电脑 X6,11152,9832,2024/3/6,笔记本电脑,联想,14218.53,21.57,272,92.51,成都,6
索尼 智能家居 X6,4558,1299,2024/6/19,智能家居,索尼,6486.15,29.73,71,89.84,北京,12
小米 智能手机 X9,7738,21379,2024/5/15,智能手机,小米,9306.36,16.85,185,85.51,深圳,12
海尔 平板电脑 X5,2670,1790,2025/1/9,平板电脑,海尔,3168.59,15.74,121,86.53,武汉,18
小米 耳机 X8,140,1408,2024/6/20,耳机,小米,169.37,17.34,209,91.9,北京,18
飞利浦 智能家居 X10,1751,2460,2024/3/27,智能家居,飞利浦,2014.04,13.06,568,86.14,武汉,6
联想 智能家居 X4,1401,1941,2024/9/20,智能家居,联想,1581.23,11.4,238,90.81,武汉,24
飞利浦 平板电脑 X10,2515,7156,2024/4/1,平板电脑,飞利浦,2579.9,2.52,665,84.56,北京,24
飞利浦 智能家居 X7,4269,2697,2024/5/25,智能家居,飞利浦,6346.4,32.73,952,84.72,北京,12
华为 电视 X4,10742,1716,2024/10/8,电视,华为,10932.38,1.74,635,82.31,上海,6
索尼 投影仪 X10,677,282,2024/9/30,投影仪,索尼,966.06,29.92,657,85.56,武汉,18
索尼 耳机 X10,999,970,2024/12/17,耳机,索尼,1118.79,10.71,330,82.97,成都,24
联想 智能穿戴 X8,198,2155,2024/12/21,智能穿戴,联想,234.44,15.54,57,97.66,上海,18
小米 智能穿戴 X8,365,1904,2024/12/2,智能穿戴,小米,365.51,0.14,490,91.17,深圳,6
联想 投影仪 X7,701,1863,2024/5/30,投影仪,联想,781.69,10.32,573,90.21,成都,6
索尼 笔记本电脑 X6,19739,9343,2024/5/19,笔记本电脑,索尼,26443.41,25.35,753,84.71,武汉,24
索尼 智能家居 X7,4816,1990,2024/5/25,智能家居,索尼,5434.87,11.39,44,93.55,深圳,24
小米 平板电脑 X9,3599,4528,2024/10/6,平板电脑,小米,4106.13,12.35,640,98.51,上海,18
